trade_date,total_pnl,num_trades,avg_pnl,win_rate,total_volume_usd,avg_trade_size,total_abs_pnl,value,classification,sentiment_category,long_short_ratio_x,avg_leverage,total_fees,gross_profit,gross_loss,profit_factor,high_leverage_pct,long_short_ratio_y,long_pct,sentiment_group,fear_greed_level
2025-02-14,23855.38,75,318.07,0.91,135311.99,1804.16,23855.38,48,Neutral,Neutral,,0,,23855.383185000006,0.0,23855383.185000006,0,0.08695652173913043,8.0,Neutral,Neutral (46-55)
2025-02-15,9.86,7,1.41,0.14,20895.48,2985.07,9.86,50,Neutral,Neutral,,0,,9.856236,0.0,9856.236,0,6.0,85.71428571428571,Neutral,Neutral (46-55)
2025-02-16,0.0,5,0.0,0.0,4627.43,925.49,0.0,54,Neutral,Neutral,,0,,0.0,0.0,0.0,0,5.0,100.0,Neutral,Neutral (46-55)
2025-02-17,6.77,46,0.15,0.04,198136.31,4307.31,6.77,51,Neutral,Neutral,,0,,6.770898000000001,0.0,6770.898000000001,0,14.333333333333334,93.47826086956522,Neutral,Neutral (46-55)
2025-02-18,778.68,12,64.89,0.42,13230.03,1102.5,778.68,47,Neutral,Neutral,,0,,778.682425,0.0,778682.4249999999,0,5.0,83.33333333333334,Neutral,Neutral (46-55)
2025-02-19,37.97,5,7.59,0.6,26634.04,5326.81,37.97,44,Fear,Fear,,0,,37.972301,0.0,37972.301,0,1.5,60.0,Fear,Fear (26-45)
2025-02-20,306.17,11,27.83,0.45,50734.44,4612.22,306.17,49,Neutral,Neutral,,0,,306.17281899999995,0.0,306172.81899999996,0,0.8333333333333334,45.45454545454545,Neutral,Neutral (46-55)
2025-02-21,1173.87,22,53.36,0.59,50553.32,2297.88,1173.87,55,Greed,Neutral,,0,,1173.8720010000002,0.0,1173872.0010000002,0,0.29411764705882354,22.727272727272727,Neutral,Neutral (46-55)
2025-02-22,0.0,7,0.0,0.0,10504.88,1500.7,0.0,49,Neutral,Neutral,,0,,0.0,0.0,0.0,0,7.0,100.0,Neutral,Neutral (46-55)
2025-02-24,2048.25,40,51.21,0.4,177024.17,4425.6,2054.68,49,Neutral,Neutral,,0,,2051.466029,3.216577,637.7792383020833,0,1.5,60.0,Neutral,Neutral (46-55)
2025-02-25,68198.1,64,1065.6,0.7,1023705.82,15995.4,68198.1,25,Fear,Extreme Fear,,0,,68198.103025,0.0,68198103.025,0,15.0,93.75,Fear,Extreme Fear (0-25)
2025-02-26,8245.79,5,1649.16,1.0,26215.85,5243.17,8245.79,21,Extreme Fear,Extreme Fear,,0,,8245.790948,0.0,8245790.948,0,0.25,20.0,Fear,Extreme Fear (0-25)
2025-02-27,2047.56,6,341.26,0.67,18186.12,3031.02,2047.56,10,Extreme Fear,Extreme Fear,,0,,2047.56016,0.0,2047560.16,0,5.0,83.33333333333334,Fear,Extreme Fear (0-25)
2025-02-28,52.71,8,6.59,0.38,8946.11,1118.26,52.71,16,Extreme Fear,Extreme Fear,,0,,52.70796,0.0,52707.96,0,0.3333333333333333,25.0,Fear,Extreme Fear (0-25)
2025-03-01,0.0,5,0.0,0.0,3396.39,679.28,0.0,20,Extreme Fear,Extreme Fear,,0,,0.0,0.0,0.0,0,4.0,80.0,Fear,Extreme Fear (0-25)
2025-03-02,1500.78,10,150.08,0.8,4763.64,476.36,1500.78,26,Fear,Fear,,0,,1500.782585,0.0,1500782.585,0,9.0,90.0,Fear,Fear (26-45)
